	e7.5	e7.5	e7.5	e7.5	e7.5
AHR_MOUSE.H11MO.0.B	1.823978117701308e-4	1.823978117701308e-4	1.823978117701308e-4	1.823978117701308e-4	1.823978117701308e-4
AIRE_MOUSE.H11MO.0.C	2.0027227757010268e-4	2.0027227757010268e-4	2.0027227757010268e-4	2.0027227757010268e-4	2.0027227757010268e-4
ALX1_MOUSE.H11MO.0.B	6.949700484890878e-5	6.949700484890878e-5	6.949700484890878e-5	6.949700484890878e-5	6.949700484890878e-5
ANDR_MOUSE.H11MO.0.A	4.147163010164504e-4	4.147163010164504e-4	4.147163010164504e-4	4.147163010164504e-4	4.147163010164504e-4
ANDR_MOUSE.H11MO.1.A	6.172554490885006e-4	6.172554490885006e-4	6.172554490885006e-4	6.172554490885006e-4	6.172554490885006e-4
AP2A_MOUSE.H11MO.0.A	1.9504172381500896e-3	1.9504172381500896e-3	1.9504172381500896e-3	1.9504172381500896e-3	1.9504172381500896e-3
AP2B_MOUSE.H11MO.0.B	1.2776328216930351e-3	1.2776328216930351e-3	1.2776328216930351e-3	1.2776328216930351e-3	1.2776328216930351e-3
AP2C_MOUSE.H11MO.0.A	2.1312995446572565e-3	2.1312995446572565e-3	2.1312995446572565e-3	2.1312995446572565e-3	2.1312995446572565e-3
AP2D_MOUSE.H11MO.0.D	1.2912890355965872e-3	1.2912890355965872e-3	1.2912890355965872e-3	1.2912890355965872e-3	1.2912890355965872e-3
ARI3A_MOUSE.H11MO.0.D	3.872336679047063e-4	3.872336679047063e-4	3.872336679047063e-4	3.872336679047063e-4	3.872336679047063e-4
ARI5B_MOUSE.H11MO.0.C	1.4596307165853925e-4	1.4596307165853925e-4	1.4596307165853925e-4	1.4596307165853925e-4	1.4596307165853925e-4
ARNT2_MOUSE.H11MO.0.D	5.505392453745912e-4	5.505392453745912e-4	5.505392453745912e-4	5.505392453745912e-4	5.505392453745912e-4
ARNT_MOUSE.H11MO.0.B	2.2342359974736407e-4	2.2342359974736407e-4	2.2342359974736407e-4	2.2342359974736407e-4	2.2342359974736407e-4
ASCL1_MOUSE.H11MO.0.A	8.477038595625042e-4	8.477038595625042e-4	8.477038595625042e-4	8.477038595625042e-4	8.477038595625042e-4
ASCL2_MOUSE.H11MO.0.C	7.57594716521687e-4	7.57594716521687e-4	7.57594716521687e-4	7.57594716521687e-4	7.57594716521687e-4
ATF1_MOUSE.H11MO.0.B	7.929210257594726e-4	7.929210257594726e-4	7.929210257594726e-4	7.929210257594726e-4	7.929210257594726e-4
ATF2_MOUSE.H11MO.0.A	1.1169779778373485e-3	1.1169779778373485e-3	1.1169779778373485e-3	1.1169779778373485e-3	1.1169779778373485e-3
ATF3_MOUSE.H11MO.0.A	2.1932308724773933e-3	2.1932308724773933e-3	2.1932308724773933e-3	2.1932308724773933e-3	2.1932308724773933e-3
ATF4_MOUSE.H11MO.0.A	2.9484312145929643e-4	2.9484312145929643e-4	2.9484312145929643e-4	2.9484312145929643e-4	2.9484312145929643e-4
ATF7_MOUSE.H11MO.0.D	1.0545267145516764e-3	1.0545267145516764e-3	1.0545267145516764e-3	1.0545267145516764e-3	1.0545267145516764e-3
ATOH1_MOUSE.H11MO.0.B	5.893561604086853e-4	5.893561604086853e-4	5.893561604086853e-4	5.893561604086853e-4	5.893561604086853e-4
BACH1_MOUSE.H11MO.0.C	4.169281608709102e-4	4.169281608709102e-4	4.169281608709102e-4	4.169281608709102e-4	4.169281608709102e-4
BACH2_MOUSE.H11MO.0.A	1.694621132892988e-3	1.694621132892988e-3	1.694621132892988e-3	1.694621132892988e-3	1.694621132892988e-3
BARX1_MOUSE.H11MO.0.C	1.3684700861468375e-4	1.3684700861468375e-4	1.3684700861468375e-4	1.3684700861468375e-4	1.3684700861468375e-4
BARX2_MOUSE.H11MO.0.D	1.4391251476481094e-4	1.4391251476481094e-4	1.4391251476481094e-4	1.4391251476481094e-4	1.4391251476481094e-4
BATF3_MOUSE.H11MO.0.A	4.852090829921818e-4	4.852090829921818e-4	4.852090829921818e-4	4.852090829921818e-4	4.852090829921818e-4
BATF_MOUSE.H11MO.0.A	9.544394671435428e-4	9.544394671435428e-4	9.544394671435428e-4	9.544394671435428e-4	9.544394671435428e-4
BATF_MOUSE.H11MO.1.A	1.0887060171348455e-3	1.0887060171348455e-3	1.0887060171348455e-3	1.0887060171348455e-3	1.0887060171348455e-3
BCL6_MOUSE.H11MO.0.A	6.393807549672981e-4	6.393807549672981e-4	6.393807549672981e-4	6.393807549672981e-4	6.393807549672981e-4
BHA15_MOUSE.H11MO.0.A	8.514827194708707e-4	8.514827194708707e-4	8.514827194708707e-4	8.514827194708707e-4	8.514827194708707e-4
BHE40_MOUSE.H11MO.0.A	4.4662545555894525e-4	4.4662545555894525e-4	4.4662545555894525e-4	4.4662545555894525e-4	4.4662545555894525e-4
BHE41_MOUSE.H11MO.0.D	7.012963727905041e-4	7.012963727905041e-4	7.012963727905041e-4	7.012963727905041e-4	7.012963727905041e-4
BMAL1_MOUSE.H11MO.0.A	5.356020087847279e-4	5.356020087847279e-4	5.356020087847279e-4	5.356020087847279e-4	5.356020087847279e-4
BRAC_MOUSE.H11MO.0.B	5.09116011131591e-4	5.09116011131591e-4	5.09116011131591e-4	5.09116011131591e-4	5.09116011131591e-4
BRAC_MOUSE.H11MO.1.C	4.1870657168917297e-4	4.1870657168917297e-4	4.1870657168917297e-4	4.1870657168917297e-4	4.1870657168917297e-4
BRCA1_MOUSE.H11MO.0.D	3.104247827011909e-4	3.104247827011909e-4	3.104247827011909e-4	3.104247827011909e-4	3.104247827011909e-4
CDC5L_MOUSE.H11MO.0.D	8.74322087497791e-5	8.74322087497791e-5	8.74322087497791e-5	8.74322087497791e-5	8.74322087497791e-5
CDX1_MOUSE.H11MO.0.C	1.2396621303672318e-4	1.2396621303672318e-4	1.2396621303672318e-4	1.2396621303672318e-4	1.2396621303672318e-4
