	e8.5	e8.5	e8.5	e8.5	e8.5	e8.5
AHR_MOUSE.H11MO.0.B	1.4981589157807783e-4	1.4981589157807783e-4	1.4981589157807783e-4	1.4981589157807783e-4	1.4981589157807783e-4	1.4981589157807783e-4
AIRE_MOUSE.H11MO.0.C	2.3186732219191358e-4	2.3186732219191358e-4	2.3186732219191358e-4	2.3186732219191358e-4	2.3186732219191358e-4	2.3186732219191358e-4
ALX1_MOUSE.H11MO.0.B	1.5456408399497468e-4	1.5456408399497468e-4	1.5456408399497468e-4	1.5456408399497468e-4	1.5456408399497468e-4	1.5456408399497468e-4
ANDR_MOUSE.H11MO.0.A	4.7516948460342076e-4	4.7516948460342076e-4	4.7516948460342076e-4	4.7516948460342076e-4	4.7516948460342076e-4	4.7516948460342076e-4
ANDR_MOUSE.H11MO.1.A	6.721568842553171e-4	6.721568842553171e-4	6.721568842553171e-4	6.721568842553171e-4	6.721568842553171e-4	6.721568842553171e-4
AP2A_MOUSE.H11MO.0.A	2.5198249618016613e-3	2.5198249618016613e-3	2.5198249618016613e-3	2.5198249618016613e-3	2.5198249618016613e-3	2.5198249618016613e-3
AP2B_MOUSE.H11MO.0.B	1.403863973783192e-3	1.403863973783192e-3	1.403863973783192e-3	1.403863973783192e-3	1.403863973783192e-3	1.403863973783192e-3
AP2C_MOUSE.H11MO.0.A	2.72821663720661e-3	2.72821663720661e-3	2.72821663720661e-3	2.72821663720661e-3	2.72821663720661e-3	2.72821663720661e-3
AP2D_MOUSE.H11MO.0.D	1.4425270541344828e-3	1.4425270541344828e-3	1.4425270541344828e-3	1.4425270541344828e-3	1.4425270541344828e-3	1.4425270541344828e-3
ARI3A_MOUSE.H11MO.0.D	2.7461191580564103e-4	2.7461191580564103e-4	2.7461191580564103e-4	2.7461191580564103e-4	2.7461191580564103e-4	2.7461191580564103e-4
ARI5B_MOUSE.H11MO.0.C	1.5986861675031927e-4	1.5986861675031927e-4	1.5986861675031927e-4	1.5986861675031927e-4	1.5986861675031927e-4	1.5986861675031927e-4
ARNT2_MOUSE.H11MO.0.D	5.674184337695501e-4	5.674184337695501e-4	5.674184337695501e-4	5.674184337695501e-4	5.674184337695501e-4	5.674184337695501e-4
ARNT_MOUSE.H11MO.0.B	1.9425153123133452e-4	1.9425153123133452e-4	1.9425153123133452e-4	1.9425153123133452e-4	1.9425153123133452e-4	1.9425153123133452e-4
ASCL1_MOUSE.H11MO.0.A	1.377025163193182e-3	1.377025163193182e-3	1.377025163193182e-3	1.377025163193182e-3	1.377025163193182e-3	1.377025163193182e-3
