	e8.5	e8.5	e8.5	e8.5	e8.5	e8.5
AHR_MOUSE.H11MO.0.B	8.246728657382074e-3	8.246728657382074e-3	8.246728657382074e-3	8.246728657382074e-3	8.246728657382074e-3	8.246728657382074e-3
AIRE_MOUSE.H11MO.0.C	5.006942399124803e-3	5.006942399124803e-3	5.006942399124803e-3	5.006942399124803e-3	5.006942399124803e-3	5.006942399124803e-3
ALX1_MOUSE.H11MO.0.B	7.95220263390417e-3	7.95220263390417e-3	7.95220263390417e-3	7.95220263390417e-3	7.95220263390417e-3	7.95220263390417e-3
ANDR_MOUSE.H11MO.0.A	1.262254386333983e-3	1.262254386333983e-3	1.262254386333983e-3	1.262254386333983e-3	1.262254386333983e-3	1.262254386333983e-3
ANDR_MOUSE.H11MO.1.A	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4
AP2A_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
AP2B_MOUSE.H11MO.0.B	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
AP2C_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
AP2D_MOUSE.H11MO.0.D	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
ARI3A_MOUSE.H11MO.0.D	4.123364328691093e-3	4.123364328691093e-3	4.123364328691093e-3	4.123364328691093e-3	4.123364328691093e-3	4.123364328691093e-3
ARI5B_MOUSE.H11MO.0.C	7.741826902848525e-3	7.741826902848525e-3	7.741826902848525e-3	7.741826902848525e-3	7.741826902848525e-3	7.741826902848525e-3
ARNT2_MOUSE.H11MO.0.D	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4
ARNT_MOUSE.H11MO.0.B	5.848445323347495e-3	5.848445323347495e-3	5.848445323347495e-3	5.848445323347495e-3	5.848445323347495e-3	5.848445323347495e-3
ASCL1_MOUSE.H11MO.0.A	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
ASCL2_MOUSE.H11MO.0.C	1.262254386333872e-4	1.262254386333872e-4	1.262254386333872e-4	1.262254386333872e-4	1.262254386333872e-4	1.262254386333872e-4
ATF1_MOUSE.H11MO.0.B	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4
ATF2_MOUSE.H11MO.0.A	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4
ATF3_MOUSE.H11MO.0.A	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
ATF4_MOUSE.H11MO.0.A	4.586190937013512e-3	4.586190937013512e-3	4.586190937013512e-3	4.586190937013512e-3	4.586190937013512e-3	4.586190937013512e-3
ATF7_MOUSE.H11MO.0.D	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4
ATOH1_MOUSE.H11MO.0.B	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4
BACH1_MOUSE.H11MO.0.C	3.786763159001949e-3	3.786763159001949e-3	3.786763159001949e-3	3.786763159001949e-3	3.786763159001949e-3	3.786763159001949e-3
BACH2_MOUSE.H11MO.0.A	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4
BARX1_MOUSE.H11MO.0.C	6.142971346825399e-3	6.142971346825399e-3	6.142971346825399e-3	6.142971346825399e-3	6.142971346825399e-3	6.142971346825399e-3
BARX2_MOUSE.H11MO.0.D	7.95220263390417e-3	7.95220263390417e-3	7.95220263390417e-3	7.95220263390417e-3	7.95220263390417e-3	7.95220263390417e-3
BATF3_MOUSE.H11MO.0.A	1.851306433289901e-3	1.851306433289901e-3	1.851306433289901e-3	1.851306433289901e-3	1.851306433289901e-3	1.851306433289901e-3
BATF_MOUSE.H11MO.0.A	6.732023393781761e-4	6.732023393781761e-4	6.732023393781761e-4	6.732023393781761e-4	6.732023393781761e-4	6.732023393781761e-4
BATF_MOUSE.H11MO.1.A	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4
BCL6_MOUSE.H11MO.0.A	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4
BHA15_MOUSE.H11MO.0.A	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4
BHE40_MOUSE.H11MO.0.A	3.3660116968906584e-3	3.3660116968906584e-3	3.3660116968906584e-3	3.3660116968906584e-3	3.3660116968906584e-3	3.3660116968906584e-3
BHE41_MOUSE.H11MO.0.D	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4
BMAL1_MOUSE.H11MO.0.A	1.304329532545112e-3	1.304329532545112e-3	1.304329532545112e-3	1.304329532545112e-3	1.304329532545112e-3	1.304329532545112e-3
BRAC_MOUSE.H11MO.0.B	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3
BRAC_MOUSE.H11MO.1.C	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3
BRCA1_MOUSE.H11MO.0.D	4.922792106702545e-3	4.922792106702545e-3	4.922792106702545e-3	4.922792106702545e-3	4.922792106702545e-3	4.922792106702545e-3
CDC5L_MOUSE.H11MO.0.D	1.973324357302142e-2	1.973324357302142e-2	1.973324357302142e-2	1.973324357302142e-2	1.973324357302142e-2	1.973324357302142e-2
CDX1_MOUSE.H11MO.0.C	1.0897462868683427e-2	1.0897462868683427e-2	1.0897462868683427e-2	1.0897462868683427e-2	1.0897462868683427e-2	1.0897462868683427e-2
CDX2_MOUSE.H11MO.0.A	4.333740059746738e-3	4.333740059746738e-3	4.333740059746738e-3	4.333740059746738e-3	4.333740059746738e-3	4.333740059746738e-3
CDX4_MOUSE.H11MO.0.A	8.835780704337992e-3	8.835780704337992e-3	8.835780704337992e-3	8.835780704337992e-3	8.835780704337992e-3	8.835780704337992e-3
CEBPA_MOUSE.H11MO.0.A	4.333740059746738e-3	4.333740059746738e-3	4.333740059746738e-3	4.333740059746738e-3	4.333740059746738e-3	4.333740059746738e-3
CEBPB_MOUSE.H11MO.0.A	4.586190937013512e-3	4.586190937013512e-3	4.586190937013512e-3	4.586190937013512e-3	4.586190937013512e-3	4.586190937013512e-3
CEBPD_MOUSE.H11MO.0.B	4.502040644591254e-3	4.502040644591254e-3	4.502040644591254e-3	4.502040644591254e-3	4.502040644591254e-3	4.502040644591254e-3
CEBPE_MOUSE.H11MO.0.A	1.0897462868683427e-2	1.0897462868683427e-2	1.0897462868683427e-2	1.0897462868683427e-2	1.0897462868683427e-2	1.0897462868683427e-2
CEBPG_MOUSE.H11MO.0.B	4.165439474902222e-3	4.165439474902222e-3	4.165439474902222e-3	4.165439474902222e-3	4.165439474902222e-3	4.165439474902222e-3
CEBPZ_MOUSE.H11MO.0.D	0.0	0.0	0.0	0.0	0.0	0.0
CLOCK_MOUSE.H11MO.0.C	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3
COE1_MOUSE.H11MO.0.A	8.415029242225813e-5	8.415029242225813e-5	8.415029242225813e-5	8.415029242225813e-5	8.415029242225813e-5	8.415029242225813e-5
COT1_MOUSE.H11MO.0.B	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4
COT1_MOUSE.H11MO.1.C	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4
COT2_MOUSE.H11MO.0.A	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4	2.9452602347790346e-4
COT2_MOUSE.H11MO.1.B	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4
COT2_MOUSE.H11MO.2.B	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4
CREB1_MOUSE.H11MO.0.A	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4
CREM_MOUSE.H11MO.0.C	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4
CRX_MOUSE.H11MO.0.A	4.291664913535609e-3	4.291664913535609e-3	4.291664913535609e-3	4.291664913535609e-3	4.291664913535609e-3	4.291664913535609e-3
CTCF_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
CTCFL_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
CUX1_MOUSE.H11MO.0.C	5.469769007447334e-3	5.469769007447334e-3	5.469769007447334e-3	5.469769007447334e-3	5.469769007447334e-3	5.469769007447334e-3
CUX2_MOUSE.H11MO.0.C	1.2454243278495425e-2	1.2454243278495425e-2	1.2454243278495425e-2	1.2454243278495425e-2	1.2454243278495425e-2	1.2454243278495425e-2
CXXC1_MOUSE.H11MO.0.D	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3
DBP_MOUSE.H11MO.0.B	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3
DDIT3_MOUSE.H11MO.0.C	3.74468801279082e-3	3.74468801279082e-3	3.74468801279082e-3	3.74468801279082e-3	3.74468801279082e-3	3.74468801279082e-3
DLX2_MOUSE.H11MO.0.D	8.120503218748687e-3	8.120503218748687e-3	8.120503218748687e-3	8.120503218748687e-3	8.120503218748687e-3	8.120503218748687e-3
DLX3_MOUSE.H11MO.0.C	6.942399124836962e-3	6.942399124836962e-3	6.942399124836962e-3	6.942399124836962e-3	6.942399124836962e-3	6.942399124836962e-3
DLX5_MOUSE.H11MO.0.C	9.424832751293799e-3	9.424832751293799e-3	9.424832751293799e-3	9.424832751293799e-3	9.424832751293799e-3	9.424832751293799e-3
DMRT1_MOUSE.H11MO.0.C	2.8611099423569986e-3	2.8611099423569986e-3	2.8611099423569986e-3	2.8611099423569986e-3	2.8611099423569986e-3	2.8611099423569986e-3
DMRTB_MOUSE.H11MO.0.C	3.5343122817351746e-3	3.5343122817351746e-3	3.5343122817351746e-3	3.5343122817351746e-3	3.5343122817351746e-3	3.5343122817351746e-3
E2F1_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
E2F2_MOUSE.H11MO.0.B	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3
E2F3_MOUSE.H11MO.0.A	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4
E2F4_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
