	e9.5	e9.5	e9.5	e9.5	e9.5
AHR_MOUSE.H11MO.0.B	8.985549768943057e-3	8.985549768943057e-3	8.985549768943057e-3	8.985549768943057e-3	8.985549768943057e-3
AIRE_MOUSE.H11MO.0.C	5.317978434680515e-3	5.317978434680515e-3	5.317978434680515e-3	5.317978434680515e-3	5.317978434680515e-3
ALX1_MOUSE.H11MO.0.B	5.281302721337977e-3	5.281302721337977e-3	5.281302721337977e-3	5.281302721337977e-3	5.281302721337977e-3
ANDR_MOUSE.H11MO.0.A	8.802171202230147e-4	8.802171202230147e-4	8.802171202230147e-4	8.802171202230147e-4	8.802171202230147e-4
ANDR_MOUSE.H11MO.1.A	2.934057067409679e-4	2.934057067409679e-4	2.934057067409679e-4	2.934057067409679e-4	2.934057067409679e-4
AP2A_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
AP2B_MOUSE.H11MO.0.B	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4
AP2C_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
AP2D_MOUSE.H11MO.0.D	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4
ARI3A_MOUSE.H11MO.0.D	3.1541113474656823e-3	3.1541113474656823e-3	3.1541113474656823e-3	3.1541113474656823e-3	3.1541113474656823e-3
ARI5B_MOUSE.H11MO.0.C	5.244627007995328e-3	5.244627007995328e-3	5.244627007995328e-3	5.244627007995328e-3	5.244627007995328e-3
ARNT2_MOUSE.H11MO.0.D	9.535685469082011e-4	9.535685469082011e-4	9.535685469082011e-4	9.535685469082011e-4	9.535685469082011e-4
ARNT_MOUSE.H11MO.0.B	5.464681288050999e-3	5.464681288050999e-3	5.464681288050999e-3	5.464681288050999e-3	5.464681288050999e-3
ASCL1_MOUSE.H11MO.0.A	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4
ASCL2_MOUSE.H11MO.0.C	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4
ATF1_MOUSE.H11MO.0.B	8.802171202230147e-4	8.802171202230147e-4	8.802171202230147e-4	8.802171202230147e-4	8.802171202230147e-4
ATF2_MOUSE.H11MO.0.A	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
ATF3_MOUSE.H11MO.0.A	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4
ATF4_MOUSE.H11MO.0.A	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3
ATF7_MOUSE.H11MO.0.D	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
ATOH1_MOUSE.H11MO.0.B	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4
BACH1_MOUSE.H11MO.0.C	2.1638670872148325e-3	2.1638670872148325e-3	2.1638670872148325e-3	2.1638670872148325e-3	2.1638670872148325e-3
BACH2_MOUSE.H11MO.0.A	1.8337856671313268e-4	1.8337856671313268e-4	1.8337856671313268e-4	1.8337856671313268e-4	1.8337856671313268e-4
BARX1_MOUSE.H11MO.0.C	4.474437027800149e-3	4.474437027800149e-3	4.474437027800149e-3	4.474437027800149e-3	4.474437027800149e-3
BARX2_MOUSE.H11MO.0.D	4.21770703440183e-3	4.21770703440183e-3	4.21770703440183e-3	4.21770703440183e-3	4.21770703440183e-3
BATF3_MOUSE.H11MO.0.A	1.540379960390248e-3	1.540379960390248e-3	1.540379960390248e-3	1.540379960390248e-3	1.540379960390248e-3
BATF_MOUSE.H11MO.0.A	8.435414068803659e-4	8.435414068803659e-4	8.435414068803659e-4	8.435414068803659e-4	8.435414068803659e-4
BATF_MOUSE.H11MO.1.A	8.068656935377172e-4	8.068656935377172e-4	8.068656935377172e-4	8.068656935377172e-4	8.068656935377172e-4
BCL6_MOUSE.H11MO.0.A	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4
BHA15_MOUSE.H11MO.0.A	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4
BHE40_MOUSE.H11MO.0.A	2.787354214039417e-3	2.787354214039417e-3	2.787354214039417e-3	2.787354214039417e-3	2.787354214039417e-3
BHE41_MOUSE.H11MO.0.D	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4
BMAL1_MOUSE.H11MO.0.A	1.0635956869361474e-3	1.0635956869361474e-3	1.0635956869361474e-3	1.0635956869361474e-3	1.0635956869361474e-3
BRAC_MOUSE.H11MO.0.B	1.0635956869361474e-3	1.0635956869361474e-3	1.0635956869361474e-3	1.0635956869361474e-3	1.0635956869361474e-3
BRAC_MOUSE.H11MO.1.C	1.2836499669918178e-3	1.2836499669918178e-3	1.2836499669918178e-3	1.2836499669918178e-3	1.2836499669918178e-3
BRCA1_MOUSE.H11MO.0.D	3.8509499009755643e-3	3.8509499009755643e-3	3.8509499009755643e-3	3.8509499009755643e-3	3.8509499009755643e-3
CDC5L_MOUSE.H11MO.0.D	1.0122496882564391e-2	1.0122496882564391e-2	1.0122496882564391e-2	1.0122496882564391e-2	1.0122496882564391e-2
CDX1_MOUSE.H11MO.0.C	5.244627007995328e-3	5.244627007995328e-3	5.244627007995328e-3	5.244627007995328e-3	5.244627007995328e-3
CDX2_MOUSE.H11MO.0.A	2.897381354067363e-3	2.897381354067363e-3	2.897381354067363e-3	2.897381354067363e-3	2.897381354067363e-3
CDX4_MOUSE.H11MO.0.A	5.428005574708461e-3	5.428005574708461e-3	5.428005574708461e-3	5.428005574708461e-3	5.428005574708461e-3
CEBPA_MOUSE.H11MO.0.A	3.740922760947729e-3	3.740922760947729e-3	3.740922760947729e-3	3.740922760947729e-3	3.740922760947729e-3
CEBPB_MOUSE.H11MO.0.A	4.6578155945132815e-3	4.6578155945132815e-3	4.6578155945132815e-3	4.6578155945132815e-3	4.6578155945132815e-3
CEBPD_MOUSE.H11MO.0.B	5.428005574708461e-3	5.428005574708461e-3	5.428005574708461e-3	5.428005574708461e-3	5.428005574708461e-3
CEBPE_MOUSE.H11MO.0.A	7.885278368664261e-3	7.885278368664261e-3	7.885278368664261e-3	7.885278368664261e-3	7.885278368664261e-3
CEBPG_MOUSE.H11MO.0.B	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3
CEBPZ_MOUSE.H11MO.0.D	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
CLOCK_MOUSE.H11MO.0.C	8.435414068803659e-4	8.435414068803659e-4	8.435414068803659e-4	8.435414068803659e-4	8.435414068803659e-4
COE1_MOUSE.H11MO.0.A	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
COT1_MOUSE.H11MO.0.B	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4
COT1_MOUSE.H11MO.1.C	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4
COT2_MOUSE.H11MO.0.A	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
COT2_MOUSE.H11MO.1.B	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
COT2_MOUSE.H11MO.2.B	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4
CREB1_MOUSE.H11MO.0.A	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4
CREM_MOUSE.H11MO.0.C	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4
CRX_MOUSE.H11MO.0.A	3.22746277415098e-3	3.22746277415098e-3	3.22746277415098e-3	3.22746277415098e-3	3.22746277415098e-3
CTCF_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
CTCFL_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
CUX1_MOUSE.H11MO.0.C	2.0978508031981202e-2	2.0978508031981202e-2	2.0978508031981202e-2	2.0978508031981202e-2	2.0978508031981202e-2
CUX2_MOUSE.H11MO.0.C	1.0195848309249578e-2	1.0195848309249578e-2	1.0195848309249578e-2	1.0195848309249578e-2	1.0195848309249578e-2
CXXC1_MOUSE.H11MO.0.D	4.071004181031346e-3	4.071004181031346e-3	4.071004181031346e-3	4.071004181031346e-3	4.071004181031346e-3
DBP_MOUSE.H11MO.0.B	4.987897014596898e-3	4.987897014596898e-3	4.987897014596898e-3	4.987897014596898e-3	4.987897014596898e-3
DDIT3_MOUSE.H11MO.0.C	2.1271913738721837e-3	2.1271913738721837e-3	2.1271913738721837e-3	2.1271913738721837e-3	2.1271913738721837e-3
DLX2_MOUSE.H11MO.0.D	5.904789848162562e-3	5.904789848162562e-3	5.904789848162562e-3	5.904789848162562e-3	5.904789848162562e-3
DLX3_MOUSE.H11MO.0.C	4.034328467688697e-3	4.034328467688697e-3	4.034328467688697e-3	4.034328467688697e-3	4.034328467688697e-3
DLX5_MOUSE.H11MO.0.C	5.317978434680515e-3	5.317978434680515e-3	5.317978434680515e-3	5.317978434680515e-3	5.317978434680515e-3
DMRT1_MOUSE.H11MO.0.C	2.3105699405853164e-3	2.3105699405853164e-3	2.3105699405853164e-3	2.3105699405853164e-3	2.3105699405853164e-3
DMRTB_MOUSE.H11MO.0.C	2.4205970806132626e-3	2.4205970806132626e-3	2.4205970806132626e-3	2.4205970806132626e-3	2.4205970806132626e-3
E2F1_MOUSE.H11MO.0.A	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
E2F2_MOUSE.H11MO.0.B	3.1541113474656823e-3	3.1541113474656823e-3	3.1541113474656823e-3	3.1541113474656823e-3	3.1541113474656823e-3
E2F3_MOUSE.H11MO.0.A	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
E2F4_MOUSE.H11MO.0.A	3.667571334264874e-5	3.667571334264874e-5	3.667571334264874e-5	3.667571334264874e-5	3.667571334264874e-5
E2F4_MOUSE.H11MO.1.A	1.0635956869361474e-3	1.0635956869361474e-3	1.0635956869361474e-3	1.0635956869361474e-3	1.0635956869361474e-3
E2F5_MOUSE.H11MO.0.B	4.1076798943739945e-3	4.1076798943739945e-3	4.1076798943739945e-3	4.1076798943739945e-3	4.1076798943739945e-3
E2F6_MOUSE.H11MO.0.A	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4
E2F7_MOUSE.H11MO.0.C	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
E4F1_MOUSE.H11MO.0.D	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4
EGR1_MOUSE.H11MO.0.A	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
EGR2_MOUSE.H11MO.0.A	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
EGR2_MOUSE.H11MO.1.A	3.667571334264874e-5	3.667571334264874e-5	3.667571334264874e-5	3.667571334264874e-5	3.667571334264874e-5
EGR3_MOUSE.H11MO.0.D	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4
EGR4_MOUSE.H11MO.0.D	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
EHF_MOUSE.H11MO.0.B	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
ELF1_MOUSE.H11MO.0.A	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
ELF2_MOUSE.H11MO.0.C	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
ELF3_MOUSE.H11MO.0.B	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
ELF5_MOUSE.H11MO.0.A	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
ELK1_MOUSE.H11MO.0.B	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
ELK3_MOUSE.H11MO.0.D	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
ELK4_MOUSE.H11MO.0.B	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
EPAS1_MOUSE.H11MO.0.C	6.93170982175606e-3	6.93170982175606e-3	6.93170982175606e-3	6.93170982175606e-3	6.93170982175606e-3
ERG_MOUSE.H11MO.0.A	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
ERR1_MOUSE.H11MO.0.A	9.535685469082011e-4	9.535685469082011e-4	9.535685469082011e-4	9.535685469082011e-4	9.535685469082011e-4
ERR2_MOUSE.H11MO.0.A	9.168928335656634e-4	9.168928335656634e-4	9.168928335656634e-4	9.168928335656634e-4	9.168928335656634e-4
ERR3_MOUSE.H11MO.0.C	8.435414068803659e-4	8.435414068803659e-4	8.435414068803659e-4	8.435414068803659e-4	8.435414068803659e-4
ESR1_MOUSE.H11MO.0.A	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4	3.3008142008361663e-4
ESR1_MOUSE.H11MO.1.A	4.7678427345410057e-4	4.7678427345410057e-4	4.7678427345410057e-4	4.7678427345410057e-4	4.7678427345410057e-4
